,index,PhraseId,SentenceId,Phrase,Sentiment,Length,categories,POS
0,3,4,1,A,2,1,SingleWord,['DT']
1,4,5,1,series,2,1,SingleWord,['NN']
2,6,7,1,of,2,1,SingleWord,['IN']
3,8,9,1,escapades,2,1,SingleWord,['NNS']
4,11,12,1,demonstrating,2,1,SingleWord,['VBG']
5,13,14,1,the,2,1,SingleWord,['DT']
6,14,15,1,adage,2,1,SingleWord,['NN']
7,16,17,1,that,2,1,SingleWord,['IN']
8,18,19,1,what,2,1,SingleWord,['WP']
9,20,21,1,is,2,1,SingleWord,['VBZ']
10,22,23,1,good,3,1,SingleWord,['JJ']
11,24,25,1,for,2,1,SingleWord,['IN']
12,26,27,1,goose,2,1,SingleWord,['NN']
13,30,31,1,also,2,1,SingleWord,['RB']
14,36,37,1,gander,2,1,SingleWord,['NN']
15,37,38,1,",",2,1,SingleWord,[]
16,40,41,1,some,2,1,SingleWord,['DT']
17,42,43,1,which,2,1,SingleWord,['WDT']
18,44,45,1,occasionally,2,1,SingleWord,['RB']
19,46,47,1,amuses,3,1,SingleWord,['NNS']
20,48,49,1,but,2,1,SingleWord,['CC']
21,50,51,1,none,2,1,SingleWord,['NN']
22,54,55,1,amounts,2,1,SingleWord,['NNS']
23,56,57,1,to,2,1,SingleWord,['TO']
24,58,59,1,much,2,1,SingleWord,['JJ']
25,61,62,1,story,2,1,SingleWord,['NN']
26,62,63,1,.,2,1,SingleWord,[]
27,65,66,2,This,2,1,SingleWord,['DT']
28,68,69,2,quiet,2,1,SingleWord,['JJ']
29,72,73,2,introspective,2,1,SingleWord,['JJ']
30,73,74,2,and,2,1,SingleWord,['CC']
31,74,75,2,entertaining,4,1,SingleWord,['VBG']
32,75,76,2,independent,2,1,SingleWord,['JJ']
33,79,80,2,worth,2,1,SingleWord,['NN']
34,80,81,2,seeking,2,1,SingleWord,['VBG']
35,84,85,3,Even,2,1,SingleWord,['RB']
36,85,86,3,fans,3,1,SingleWord,['NNS']
37,89,90,3,Ismail,2,1,SingleWord,['NN']
38,91,92,3,Merchant,2,1,SingleWord,['NN']
39,92,93,3,'s,2,1,SingleWord,['NN']
40,93,94,3,work,2,1,SingleWord,['NN']
41,98,99,3,I,2,1,SingleWord,['NN']
42,99,100,3,suspect,2,1,SingleWord,['NN']
43,102,103,3,would,2,1,SingleWord,['MD']
44,104,105,3,have,2,1,SingleWord,['VB']
45,108,109,3,hard,2,1,SingleWord,['JJ']
46,109,110,3,time,2,1,SingleWord,['NN']
47,111,112,3,sitting,2,1,SingleWord,['VBG']
48,113,114,3,through,2,1,SingleWord,['IN']
49,115,116,3,one,2,1,SingleWord,['CD']
50,121,122,4,positively,3,1,SingleWord,['RB']
51,123,124,4,thrilling,4,1,SingleWord,['VBG']
52,124,125,4,combination,2,1,SingleWord,['NN']
53,128,129,4,ethnography,2,1,SingleWord,['NN']
54,130,131,4,all,2,1,SingleWord,['DT']
55,133,134,4,intrigue,3,1,SingleWord,['NN']
56,136,137,4,betrayal,2,1,SingleWord,['NN']
57,140,141,4,deceit,1,1,SingleWord,['NN']
58,141,142,4,murder,1,1,SingleWord,['NN']
59,147,148,4,Shakespearean,2,1,SingleWord,['NN']
60,148,149,4,tragedy,1,1,SingleWord,['NN']
61,149,150,4,or,2,1,SingleWord,['CC']
62,152,153,4,juicy,3,1,SingleWord,['NN']
63,154,155,4,soap,2,1,SingleWord,['NN']
64,155,156,4,opera,2,1,SingleWord,['NN']
65,158,159,5,Aggressive,2,1,SingleWord,['JJ']
66,161,162,5,self-glorification,2,1,SingleWord,"['NN', 'NN']"
67,164,165,5,manipulative,2,1,SingleWord,['NN']
68,165,166,5,whitewash,2,1,SingleWord,['NN']
69,169,170,6,comedy-drama,2,1,SingleWord,"['NN', 'NN']"
70,173,174,6,nearly,2,1,SingleWord,['RB']
71,174,175,6,epic,3,1,SingleWord,['NN']
72,175,176,6,proportions,2,1,SingleWord,['NNS']
73,179,180,6,rooted,3,1,SingleWord,['VBN']
74,181,182,6,in,2,1,SingleWord,['IN']
75,184,185,6,sincere,3,1,SingleWord,['RB']
76,185,186,6,performance,2,1,SingleWord,['NN']
77,187,188,6,by,2,1,SingleWord,['IN']
78,191,192,6,title,2,1,SingleWord,['NN']
79,192,193,6,character,2,1,SingleWord,['NN']
80,194,195,6,undergoing,2,1,SingleWord,['VBG']
81,196,197,6,midlife,2,1,SingleWord,['NN']
82,197,198,6,crisis,2,1,SingleWord,['NN']
83,199,200,7,Narratively,2,1,SingleWord,['RB']
84,203,204,7,Trouble,1,1,SingleWord,['NN']
85,205,206,7,Every,2,1,SingleWord,['DT']
86,206,207,7,Day,2,1,SingleWord,['NN']
87,211,212,7,plodding,1,1,SingleWord,['VBG']
88,212,213,7,mess,1,1,SingleWord,['NN']
89,215,216,8,Importance,3,1,SingleWord,['NN']
90,218,219,8,Being,2,1,SingleWord,['VBG']
91,221,222,8,Earnest,3,1,SingleWord,['NN']
92,223,224,8,so,2,1,SingleWord,['RB']
93,225,226,8,thick,2,1,SingleWord,['NN']
94,227,228,8,with,2,1,SingleWord,['IN']
95,229,230,8,wit,2,1,SingleWord,['NN']
96,231,232,8,it,2,1,SingleWord,['PRP']
97,233,234,8,plays,2,1,SingleWord,['NNS']
98,235,236,8,like,2,1,SingleWord,['IN']
99,238,239,8,reading,2,1,SingleWord,['NN']
100,240,241,8,from,2,1,SingleWord,['IN']
101,243,244,8,Bartlett,2,1,SingleWord,['NN']
102,245,246,8,Familiar,2,1,SingleWord,['JJ']
103,246,247,8,Quotations,2,1,SingleWord,['NNS']
104,252,253,9,does,2,1,SingleWord,['VBZ']
105,253,254,9,n't,2,1,SingleWord,"['NNS', 'NN']"
106,256,257,9,leave,1,1,SingleWord,['VB']
107,257,258,9,you,2,1,SingleWord,['PRP']
108,262,263,10,could,2,1,SingleWord,['MD']
109,265,266,10,hate,0,1,SingleWord,['NN']
110,269,270,10,same,2,1,SingleWord,['JJ']
111,270,271,10,reason,2,1,SingleWord,['NN']
112,272,273,11,There,2,1,SingleWord,['RB']
113,278,279,11,little,2,1,SingleWord,['JJ']
114,281,282,11,recommend,3,1,SingleWord,['NN']
115,283,284,11,Snow,2,1,SingleWord,['NN']
116,284,285,11,Dogs,2,1,SingleWord,['NNS']
117,286,287,11,unless,2,1,SingleWord,['IN']
118,289,290,11,considers,2,1,SingleWord,['NNS']
119,294,295,11,cliched,1,1,SingleWord,['NNS']
120,295,296,11,dialogue,2,1,SingleWord,['NN']
121,297,298,11,perverse,1,1,SingleWord,['NN']
122,298,299,11,escapism,2,1,SingleWord,['NN']
123,301,302,11,source,2,1,SingleWord,['NN']
124,304,305,11,high,3,1,SingleWord,['JJ']
125,305,306,11,hilarity,3,1,SingleWord,['NN']
126,308,309,12,Kung,2,1,SingleWord,['NN']
127,309,310,12,Pow,3,1,SingleWord,['NN']
128,319,320,12,Oedekerk,2,1,SingleWord,['NN']
129,320,321,12,realization,2,1,SingleWord,['NN']
130,323,324,12,his,2,1,SingleWord,['PRP$']
131,325,326,12,childhood,2,1,SingleWord,['NN']
132,326,327,12,dream,3,1,SingleWord,['NN']
133,329,330,12,be,2,1,SingleWord,['VB']
134,333,334,12,martial-arts,2,1,SingleWord,"['JJ', 'NNS']"
135,334,335,12,flick,2,1,SingleWord,['NN']
136,336,337,12,proves,2,1,SingleWord,['NNS']
137,339,340,12,sometimes,2,1,SingleWord,['RB']
138,343,344,12,dreams,2,1,SingleWord,['NNS']
139,345,346,12,youth,2,1,SingleWord,['NN']
140,347,348,12,should,2,1,SingleWord,['MD']
141,349,350,12,remain,2,1,SingleWord,['NN']
142,351,352,12,just,2,1,SingleWord,['RB']
143,354,355,13,performances,2,1,SingleWord,['NNS']
144,357,358,13,are,2,1,SingleWord,['VBP']
145,359,360,13,an,2,1,SingleWord,['DT']
146,361,362,13,absolute,2,1,SingleWord,['NN']
147,362,363,13,joy,4,1,SingleWord,['NN']
148,364,365,14,Fresnadillo,2,1,SingleWord,['NN']
149,367,368,14,has,2,1,SingleWord,['VBZ']
150,369,370,14,something,2,1,SingleWord,['NN']
151,371,372,14,serious,2,1,SingleWord,['JJ']
152,374,375,14,say,2,1,SingleWord,['VB']
153,376,377,14,about,2,1,SingleWord,['IN']
154,379,380,14,ways,2,1,SingleWord,['NNS']
155,384,385,14,extravagant,4,1,SingleWord,['NN']
156,385,386,14,chance,2,1,SingleWord,['NN']
157,387,388,14,can,2,1,SingleWord,['MD']
158,391,392,14,distort,2,1,SingleWord,['NN']
159,393,394,14,our,2,1,SingleWord,['PRP$']
